LTE_5g_Category,Time,Packet_Loss_Rate,Packet_delay,IoT,LTE_5G,GBR,Non_GBR,AR_VR_Gaming,Healthcare,Industry_4_0,IoT_Devices,Public_Safety,Smart_City_Home,Smart_Transportation,Smartphone,slice_Type,slice_type_label
14,0,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
18,20,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
17,14,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
3,17,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
9,4,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
19,2,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
15,2,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
19,3,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
8,20,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
13,10,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
3,4,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
7,17,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
7,3,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
4,14,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
15,20,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
1,16,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,16,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
9,20,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
7,15,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
8,21,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
20,18,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
10,5,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
19,5,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
2,4,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
14,4,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
3,10,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
9,17,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
13,22,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
5,20,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
13,22,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
15,16,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
16,20,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
8,6,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
21,11,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
7,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
12,2,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
11,11,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
4,2,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
3,21,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
